Tracker;Status;Priority;Subject;Category;Estimated time;Description;Caratteristica di riferimento;id;assegnatario;tempo impiegato;hash commit;Commento
To-Do;New;Normal;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 788 to the 15 allowed.""";CRITICAL;1d4h58min;"Key: AYiMxjBxXwWVr5mP8E4n Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASreaderLAS.java - startLine: 104;startOffset: 12;endOffset: 16;endLine: 104";Maintenance (Code Smells);68;Claudia Stallone;30 minuti;321cdb04f0d37110e839af06b503acf69e042c2b;
To-Do;New;Normal;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 144 to the 15 allowed.""";CRITICAL;2h14min;"Key: AYiMxjEeXwWVr5mP8FCD Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASwriterLAS.java - startLine: 82;startOffset: 19;endOffset: 32;endLine: 82";Maintenance (Code Smells);69;Claudia Stallone;30 minuti;2d7f5645b2b14d4b4946df789fefc5d7e003f0f4;
To-Do;New;Normal;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 508 to the 15 allowed.""";CRITICAL;1d18min;"Key: AYiMxjMqXwWVr5mP8FrI Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laszip/LASzip.java - startLine: 633;startOffset: 12;endOffset: 23;endLine: 633";Maintenance (Code Smells);70;Claudia Stallone;40 minuti;e197730c60c72382267f893181e955aafbb2444e;
To-Do;New;Normal;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 643 to the 15 allowed.""";CRITICAL;1d2h33min;"Key: AYiMxjACXwWVr5mP8E1e Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASreadOpener.java - startLine: 199;startOffset: 21;endOffset: 25;endLine: 199";Maintenance (Code Smells);71;Claudia Stallone;15 minuti;51c2b46cc0ca1ad480ef5d135d8c18231ad4b728;
To-Do;New;Normal;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 27 to the 15 allowed.""";CRITICAL;17min;"Key: AYiMxjDpXwWVr5mP8FAW Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 357;startOffset: 9;endOffset: 16;endLine: 357";Maintenance (Code Smells);72;Claudia Stallone;10 minuti;3bb143206fb7a1f438df7f56d1c637e7a30335c4;
To-Do;New;Normal;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 25 to the 15 allowed.""";CRITICAL;15min;"Key: AYiMxjHgXwWVr5mP8FXq Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laszip/LASwritePoint.java - startLine: 59;startOffset: 20;endOffset: 37;endLine: 59";Maintenance (Code Smells);73;Claudia Stallone;10 minuti;4aaa99d48f0733b0db306f2c5454937ce8b80ce8;
To-Do;New;Normal;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 66 to the 15 allowed.""";CRITICAL;56min;"Key: AYiMxjJnXwWVr5mP8Fhh Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laszip/LASreadItemCompressed_POINT14_v3.java - startLine: 414;startOffset: 27;endOffset: 31;endLine: 414";Maintenance (Code Smells);74;Claudia Stallone;10 minuti;a8837af3cff2728b787f1f2b371a0f924a57dcfa;
To-Do;New;Normal;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 487 to the 15 allowed.""";CRITICAL;7h57min;"Key: AYiMxjPsXwWVr5mP8Fu3 Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/lastools/Laszip.java - startLine: 46;startOffset: 23;endOffset: 26;endLine: 46";Maintenance (Code Smells);75;Claudia Stallone;15 minuti;863a06b11997062c29894f8bfbd8cf40460b3c4f;
To-Do;New;Normal;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 199 to the 15 allowed.""";CRITICAL;3h9min;"Key: AYiMxjACXwWVr5mP8E1j Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASreadOpener.java - startLine: 759;startOffset: 12;endOffset: 18;endLine: 759";Maintenance (Code Smells);76;Claudia Stallone;10 minuti;4ade9fa4418623ac15bfbbabf0183e4931d371ee;
To-Do;New;Normal;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 76 to the 15 allowed.""";CRITICAL;1h6min;"Key: AYiMxjDfXwWVr5mP8E8k Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASwriteOpener.java - startLine: 64;startOffset: 21;endOffset: 25;endLine: 64";Maintenance (Code Smells);77;Claudia Stallone;15 minuti;3a4dc8081e335048fca983ae5b571bc10728dc5f;
To-Do;New;Normal;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed.""";CRITICAL;8min;"Key: AYiMxjLcXwWVr5mP8Fl7 Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laszip/ArithmeticDecoder.java - startLine: 123;startOffset: 15;endOffset: 27;endLine: 123";Maintenance (Code Smells);78;Claudia Stallone;8 minuti;1f8c14ae102452c28443a9b5e76e76913442fe4d;
To-Do;New;Normal;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.""";CRITICAL;6min;"Key: AYiMxjNHXwWVr5mP8Frr Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laszip/LASitem.java - startLine: 64;startOffset: 12;endOffset: 19;endLine: 64";Maintenance (Code Smells);79;Claudia Stallone;5 minuti;a04188b9a0ec133adc0affaceec6157d5e0693a0;
To-Do;New;Normal;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 21 to the 15 allowed.""";CRITICAL;11min;"Key: AYiMxjNAXwWVr5mP8Frc Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laszip/LASreadItemCompressed_BYTE14_v3.java - startLine: 96;startOffset: 16;endOffset: 20;endLine: 96";Maintenance (Code Smells);80;Claudia Stallone;10 minuti;3b6b56828ff29b9150700d9f8d38490a81bf1735;
To-Do;New;Normal;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 40 to the 15 allowed.""";CRITICAL;30min;"Key: AYiMxjHNXwWVr5mP8FXT Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laszip/LASreadItemCompressed_GPSTIME11_v2.java - startLine: 71;startOffset: 27;endOffset: 31;endLine: 71";Maintenance (Code Smells);81;Claudia Stallone;25 minuti;201dbb3d6ada9fd4216eaa61c618bb391fc11f4f;
To-Do;New;Normal;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 48 to the 15 allowed.""";CRITICAL;38min;"Key: AYiMxjGTXwWVr5mP8FWB Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laszip/LASreadItemCompressed_POINT10_v1.java - startLine: 84;startOffset: 27;endOffset: 31;endLine: 84";Maintenance (Code Smells);82;Claudia Stallone;20 minuti;0a0429e6be2dc21d353747add47022d19ded1357;
