Tracker;Status;Priority;Subject;Category;Estimated time;Description;Caratteristica di riferimento;id;assegnatario;tempo impiegato;hash commit;commento
To-Do;New;Normal;"java:S1104:  ""Make file_signature a static final constant or non-public and provide accessors if needed.""";MINOR;10min;"Key: AYiMxjDoXwWVr5mP8E-S Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 36;startOffset: 18;endOffset: 32;endLine: 36";Maintenance (Code Smells);1607;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S116:  ""Rename this field file_signature to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjDpXwWVr5mP8E_F Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 36;startOffset: 18;endOffset: 32;endLine: 36";Maintenance (Code Smells);1608;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S1104:  ""Make file_source_ID a static final constant or non-public and provide accessors if needed.""";MINOR;10min;"Key: AYiMxjDoXwWVr5mP8E-T Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 37;startOffset: 16;endOffset: 30;endLine: 37";Maintenance (Code Smells);1609;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S116:  ""Rename this field file_source_ID to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjDpXwWVr5mP8E_G Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 37;startOffset: 16;endOffset: 30;endLine: 37";Maintenance (Code Smells);1610;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S1104:  ""Make global_encoding a static final constant or non-public and provide accessors if needed.""";MINOR;10min;"Key: AYiMxjDoXwWVr5mP8E-U Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 38;startOffset: 16;endOffset: 31;endLine: 38";Maintenance (Code Smells);1611;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S116:  ""Rename this field global_encoding to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjDpXwWVr5mP8E_H Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 38;startOffset: 16;endOffset: 31;endLine: 38";Maintenance (Code Smells);1612;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S1104:  ""Make project_ID_GUID_data_1 a static final constant or non-public and provide accessors if needed.""";MINOR;10min;"Key: AYiMxjDoXwWVr5mP8E-V Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 39;startOffset: 15;endOffset: 37;endLine: 39";Maintenance (Code Smells);1613;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S116:  ""Rename this field project_ID_GUID_data_1 to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjDpXwWVr5mP8E_I Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 39;startOffset: 15;endOffset: 37;endLine: 39";Maintenance (Code Smells);1614;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S1104:  ""Make project_ID_GUID_data_2 a static final constant or non-public and provide accessors if needed.""";MINOR;10min;"Key: AYiMxjDoXwWVr5mP8E-W Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 40;startOffset: 16;endOffset: 38;endLine: 40";Maintenance (Code Smells);1615;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S116:  ""Rename this field project_ID_GUID_data_2 to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjDpXwWVr5mP8E_J Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 40;startOffset: 16;endOffset: 38;endLine: 40";Maintenance (Code Smells);1616;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
